canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
B06046129,Kpéssi,Est-Mono 3,Est-Mono,Plateaux,100,18.92,0,1786,5854,8231,2,0,6
B06046130,Nyamassila,Est-Mono 3,Est-Mono,Plateaux,100,41.33,0,506,6206,15530,0,0,35
B07047131,Notsé,Haho 1,Haho,Plateaux,100,90.92,91.51,593,63853,65951,2,1,114
B07047132,Dalia,Haho 1,Haho,Plateaux,92.62,32.91,0,1149,29864,26243,6,0,27
B07047133,Atchavé,Haho 1,Haho,Plateaux,100,49.47,0,825,16210,18831,2,0,26
B02048134,Djemegni,Haho 2,Haho,Plateaux,98.58,47.97,2.74,1630,29411,32061,3,0,22
B07048135,Asrama,Haho 2,Haho,Plateaux,37.38,50.77,0,1305,34343,39311,3,1,32
B07049136,Kpédomé,Haho 3,Haho,Plateaux,96.03,65.71,34.51,398,23263,36851,2,0,105
B07050137,Kpegnon (Haito),Haho 4,Haho,Plateaux,69.08,39.97,0,1248,12919,13791,2,0,13
B07050138,Wahala,Haho 4,Haho,Plateaux,96.23,61.86,43.15,596,29628,45241,2,0,81
B08051139,Tové,Kloto 1,Kloto,Plateaux,100,88.95,90.71,1135,11348,10514,1,0,10
B08051140,Agome-Kpalime,Kloto 1,Kloto,Plateaux,100,98.76,99.87,241,88712,88228,2,1,368
B08051141,Yokélé,Kloto 1,Kloto,Plateaux,100,74.17,51.35,1442,7088,7924,0,0,6
B08051142,Tomé,Kloto 1,Kloto,Plateaux,100,14.99,0,4235,4824,7473,0,0,2
B08051143,Kpadapé,Kloto 1,Kloto,Plateaux,100,48.35,0,3046,8845,7100,2,0,3
B08051144,Womé,Kloto 1,Kloto,Plateaux,100,95.08,0,613,5878,6100,0,0,10
B08051145,Gbalabé,Kloto 1,Kloto,Plateaux,100,92.47,79.57,123,738,714,1,0,6
B08051146,Hanyigba,Kloto 1,Kloto,Plateaux,100,100,83.81,167,833,833,2,0,5
B08052147,Lavié,Kloto 2,Kloto,Plateaux,100,69.78,0.73,371,7706,7295,1,0,21
B08052148,Lavié-Apédomé,Kloto 2,Kloto,Plateaux,100,51.36,0,639,5783,5799,1,0,10
B08052149,Kpimé,Kloto 2,Kloto,Plateaux,100,77.26,0,331,8615,8303,3,0,26
B08053150,Agomé-Yoh,Kloto 3,Kloto,Plateaux,100,85.71,19.05,416,833,825,0,0,2
B08053151,Agomé-Tomégbé,Kloto 3,Kloto,Plateaux,100,68.26,0,554,3324,3324,3,0,6
B08053152,Kouma,Kloto 3,Kloto,Plateaux,100,90.88,0,314,8790,6759,2,0,28
B09055157,Kpélé-Nord,Kpélé 2,Kpélé,Plateaux,100,52.81,0,389,9295,7880,3,1,24
