canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
B01033078,Plateaux,Agou,Agou 1,Agou-Iboé,100,44.29,0,823,1647,1559,1,0,0,0,0,0
B01033082,Plateaux,Agou,Agou 1,Agou-Tavié,100,93.91,95.8,244,11455,11256,3,1,1,2,1,0
B01033083,Plateaux,Agou,Agou 1,Agou-Atigbé,100,38.08,76.71,2147,2023,1959,0,0,0,0,0,0
B01033084,Plateaux,Agou,Agou 1,Gadja,100,61.19,4.99,306,17004,15704,2,0,0,2,0,0
B01033085,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,100,50.3,1.81,2923,341,2770,0,0,0,0,0,0
B01033086,Plateaux,Agou,Agou 1,Klonou,,,,,,,0,0,0,0,0,0
B01034087,Plateaux,Agou,Agou 2,Amoussou-Kopé,42.15,64.93,0,249,11143,10057,2,0,0,0,0,0
B01034088,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),0,8.46,0,5074,429,2950,0,0,0,0,0,0
B01034089,Plateaux,Agou,Agou 2,Agotimé-Nord,51.08,37.09,0,2858,3723,10046,2,0,0,0,0,0
B02035090,Plateaux,Akébou,Akébou 1,Djon,100,28.76,0,1378,9239,10808,1,0,0,0,0,0
B02035091,Plateaux,Akébou,Akébou 1,Veh,100,45.28,0,945,3464,3727,1,0,0,0,0,0
B02035092,Plateaux,Akébou,Akébou 1,Kougnohou,100,82.36,0,230,8850,9776,1,1,0,2,1,0
B02035093,Plateaux,Akébou,Akébou 1,Gbendè,100,35.29,0,1874,3496,3590,2,0,0,0,0,0
B02035094,Plateaux,Akébou,Akébou 1,Yalla,4.7,69.27,0,818,31,4756,0,0,0,0,0,0
B02036095,Plateaux,Akébou,Akébou 2,Sérégbénè,51.67,42.8,0,1751,5092,8421,1,0,0,0,0,0
B02036096,Plateaux,Akébou,Akébou 2,Kpalavé,12.28,33.39,0,3836,6803,7181,2,0,0,0,0,0
B02036097,Plateaux,Akébou,Akébou 2,Kamina-Akébou,19.87,31.14,0,794,11192,11655,3,0,0,0,0,0
B03037099,Plateaux,Amou,Amou 1,Imlè-Adiva,100,40.93,0,1244,8355,6228,3,0,0,0,0,0
B03037098,Plateaux,Amou,Amou 1,Adiva,100,78.33,0,384,1536,1336,1,0,0,0,0,0
B03037100,Plateaux,Amou,Amou 1,Amlamé (Ouma),100,72.99,0,438,13565,13150,2,1,0,1,1,0
