region,prefecture,commune,canton,nom,lat,lon,type_service
Maritime,Zio,Zio 1,Tsévié,Division des Operations Douanieres de la Region Maritime,6.43216,1.21621,microfinance
Plateaux,Amou,Amou 3,Témédja,COMEC Temedja,7.51884,1.05895,microfinance
Plateaux,Ogou,Ogou 1,Djama,Microfinance Millenium Kpotame,7.50914,1.15288,microfinance
Plateaux,Ogou,Ogou 1,Djama,CECAV Agbonou,7.51646,1.15023,microfinance
Plateaux,Ogou,Ogou 2,Akparé,COOPEC Ilema de Akpare,7.47477,1.31467,microfinance
Plateaux,Est-Mono,Est-Mono 3,Nyamassila,COOPEC Nyamassila,7.98759,1.19196,microfinance
Plateaux,Est-Mono,Est-Mono 1,Elavagnon,COOPEC Elavagnon,7.95583,1.28472,microfinance
Plateaux,Wawa,Wawa 1,Badou,COOPEC-AD Badou,7.58543,0.6088,microfinance
Plateaux,Wawa,Wawa 1,Badou,MGPCC dekawowo,7.59274,0.6096,microfinance
Plateaux,Wawa,Wawa 1,Badou,FUCEC Togo  COOPEC Novissi,7.58479,0.61277,microfinance
Plateaux,Est-Mono,Est-Mono 2,Morétan,COOPEC Katchere,8.10741,1.35048,microfinance
Plateaux,Ogou,Ogou 2,Datcha,Assciation Oressan,7.43261,1.16003,microfinance
Plateaux,Moyen-Mono,Moyen-Mono 1,Tado,FUCEC Togo Tado,7.14602,1.59169,microfinance
Plateaux,Ogou,Ogou 4,Ountivou,SPEC OIC Togo Atchankoe,7.4313,1.4855,microfinance
Plateaux,Ogou,Ogou 4,Ountivou,Association Villageoise pour l'Epargne et le Credit,7.43069,1.4851,microfinance
Plateaux,Ogou,Ogou 3,Gléi,SPEC OIC-Togo Akpaka,7.31455,1.16369,microfinance
Plateaux,Haho,Haho 1,Atchavé,FECECAV Kpele,6.85776,1.18412,microfinance
Plateaux,Ogou,Ogou 3,Gléi,COOPEC Ilema de Kpota,7.31842,1.16659,microfinance
Plateaux,Ogou,Ogou 3,Gléi,COOPEC Novissi de l'Affaire sociale,7.31563,1.16516,microfinance
Plateaux,Danyi,Danyi 1,Danyi-Atigba,FECECAV Danyi Microfinance,7.20205,0.69308,microfinance
Plateaux,Danyi,Danyi 1,Danyi-Atigba,FUCEC Togo Apéyémé,7.19837,0.69106,microfinance
Plateaux,Moyen-Mono,Moyen-Mono 1,Tohoun,SPEC OIC Togo Kpohizouhoe,7.02382,1.61514,microfinance
Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,COOPEC ADMEGNONTCHIHOE,7.32593,1.62768,microfinance
Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,FUCEC Togo Kpékplémé,7.32848,1.62395,microfinance
Plateaux,Moyen-Mono,Moyen-Mono 1,Tado,SPEC OIC Togo Tado,7.14335,1.59303,microfinance
Plateaux,Agou,Agou 1,Agou-Tavié,FUCEC Togo  COOPEC CFAE,6.85106,0.71535,microfinance
Plateaux,Agou,Agou 1,Agou-Tavié,CECAV Espoir,6.84757,0.71854,microfinance
Plateaux,Akébou,Akébou 1,Kougnohou,FECECAV Kougnohou,7.65215,0.78919,microfinance
Plateaux,Akébou,Akébou 1,Kougnohou,FUCEC Togo Kougnohou,7.65474,0.79122,microfinance
Plateaux,Ogou,Ogou 2,Akparé,SPEC OIC Akpare,7.47279,1.32249,microfinance
Plateaux,Kloto,Kloto 3,Kouma,CECAV Avenir de Kouma-adame,6.97569,0.59637,microfinance
Plateaux,Kloto,Kloto 2,Lavié-Apédomé,CECAV Lavie,7.01057,0.67644,microfinance
Plateaux,Haho,Haho 4,Wahala,Mutuelle Rhema,7.17516,1.16107,microfinance
Plateaux,Kloto,Kloto 3,Agomé-Tomégbé,CECAV Avenir Tomégbé,6.95429,0.55898,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,Sebaders Kpalime,6.92102,0.62085,microfinance
Plateaux,Haho,Haho 4,Wahala,COOPEC Car-naolou,7.17311,1.16444,microfinance
Plateaux,Haho,Haho 4,Wahala,OIC-Togo,7.17264,1.16566,microfinance
Plateaux,Haho,Haho 4,Wahala,FECECAV Zongo,7.17436,1.16543,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,SOGEMEF Lomnava,6.92153,0.63441,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,MGPCC dekawowo,6.91831,0.62419,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,COMEC Kpalime,6.9131,0.62955,microfinance
Plateaux,Kloto,Kloto 1,Agome-Kpalime,CECAV Avenir Kpalimé,6.91584,0.62608,microfinance
